"state","-","age","-","kind","-",deaths,population,-
"Alabama","01","< 1 year","1","Unintentional","1",21,56901,36.9
"Alabama","01","< 1 year","1","Non-Injury, no intent classified","9",418,56901,734.6
"Alabama","01","1-4 years","1-4","Unintentional","1",45,237456,19.0
"Alabama","01","1-4 years","1-4","Homicide","3",14,237456,Unreliable
"Alabama","01","1-4 years","1-4","Non-Injury, no intent classified","9",54,237456,22.7
"Alabama","01","5-14 years","5-14","Unintentional","1",37,608466,6.1
"Alabama","01","5-14 years","5-14","Suicide","2",10,608466,Unreliable
"Alabama","01","5-14 years","5-14","Non-Injury, no intent classified","9",71,608466,11.7
"Alabama","01","15-24 years","15-24","Unintentional","1",269,635707,42.3
"Alabama","01","15-24 years","15-24","Suicide","2",94,635707,14.8
"Alabama","01","15-24 years","15-24","Homicide","3",127,635707,20.0
"Alabama","01","15-24 years","15-24","Non-Injury, no intent classified","9",124,635707,19.5
"Alabama","01","25-34 years","25-34","Unintentional","1",413,647229,63.8
"Alabama","01","25-34 years","25-34","Suicide","2",129,647229,19.9
"Alabama","01","25-34 years","25-34","Homicide","3",155,647229,23.9
"Alabama","01","25-34 years","25-34","Non-Injury, no intent classified","9",451,647229,69.7
"Alabama","01","35-44 years","35-44","Unintentional","1",419,593306,70.6
"Alabama","01","35-44 years","35-44","Suicide","2",157,593306,26.5
"Alabama","01","35-44 years","35-44","Homicide","3",127,593306,21.4
"Alabama","01","35-44 years","35-44","Non-Injury, no intent classified","9",1084,593306,182.7
"Alabama","01","45-54 years","45-54","Unintentional","1",368,616616,59.7
"Alabama","01","45-54 years","45-54","Suicide","2",137,616616,22.2
"Alabama","01","45-54 years","45-54","Homicide","3",65,616616,10.5
"Alabama","01","45-54 years","45-54","Undetermined ","4",12,616616,Unreliable
"Alabama","01","45-54 years","45-54","Non-Injury, no intent classified","9",2864,616616,464.5
"Alabama","01","55-64 years","55-64","Unintentional","1",383,657667,58.2
"Alabama","01","55-64 years","55-64","Suicide","2",119,657667,18.1
"Alabama","01","55-64 years","55-64","Homicide","3",46,657667,7.0
"Alabama","01","55-64 years","55-64","Non-Injury, no intent classified","9",7386,657667,1123.1
"Alabama","01","65-74 years","65-74","Unintentional","1",309,501447,61.6
"Alabama","01","65-74 years","65-74","Suicide","2",84,501447,16.8
"Alabama","01","65-74 years","65-74","Homicide","3",19,501447,Unreliable
"Alabama","01","65-74 years","65-74","Non-Injury, no intent classified","9",11495,501447,2292.4
"Alabama","01","75-84 years","75-84","Unintentional","1",274,256847,106.7
"Alabama","01","75-84 years","75-84","Suicide","2",51,256847,19.9
"Alabama","01","75-84 years","75-84","Homicide","3",13,256847,Unreliable
"Alabama","01","75-84 years","75-84","Non-Injury, no intent classified","9",13119,256847,5107.7
"Alabama","01","85+ years","85+","Unintentional","1",217,91543,237.0
"Alabama","01","85+ years","85+","Suicide","2",23,91543,25.1
"Alabama","01","85+ years","85+","Non-Injury, no intent classified","9",12833,91543,14018.5
"Alaska","02","< 1 year","1","Non-Injury, no intent classified","9",42,9978,420.9
"Alaska","02","1-4 years","1-4","Non-Injury, no intent classified","9",11,41102,Unreliable
"Alaska","02","5-14 years","5-14","Non-Injury, no intent classified","9",10,100662,Unreliable
"Alaska","02","15-24 years","15-24","Unintentional","1",33,96393,34.2
"Alaska","02","15-24 years","15-24","Suicide","2",54,96393,56.0
"Alaska","02","15-24 years","15-24","Homicide","3",13,96393,Unreliable
"Alaska","02","15-24 years","15-24","Non-Injury, no intent classified","9",20,96393,20.7
"Alaska","02","25-34 years","25-34","Unintentional","1",86,117588,73.1
"Alaska","02","25-34 years","25-34","Suicide","2",51,117588,43.4
"Alaska","02","25-34 years","25-34","Homicide","3",21,117588,17.9
"Alaska","02","25-34 years","25-34","Non-Injury, no intent classified","9",59,117588,50.2
"Alaska","02","35-44 years","35-44","Unintentional","1",73,95765,76.2
"Alaska","02","35-44 years","35-44","Suicide","2",30,95765,31.3
"Alaska","02","35-44 years","35-44","Homicide","3",18,95765,Unreliable
"Alaska","02","35-44 years","35-44","Non-Injury, no intent classified","9",117,95765,122.2
"Alaska","02","45-54 years","45-54","Unintentional","1",51,85130,59.9
"Alaska","02","45-54 years","45-54","Suicide","2",26,85130,30.5
"Alaska","02","45-54 years","45-54","Homicide","3",14,85130,Unreliable
"Alaska","02","45-54 years","45-54","Non-Injury, no intent classified","9",238,85130,279.6
"Alaska","02","55-64 years","55-64","Unintentional","1",69,93339,73.9
"Alaska","02","55-64 years","55-64","Suicide","2",26,93339,27.9
"Alaska","02","55-64 years","55-64","Non-Injury, no intent classified","9",665,93339,712.5
"Alaska","02","65-74 years","65-74","Unintentional","1",34,61300,55.5
"Alaska","02","65-74 years","65-74","Suicide","2",12,61300,Unreliable
"Alaska","02","65-74 years","65-74","Non-Injury, no intent classified","9",973,61300,1587.3
"Alaska","02","75-84 years","75-84","Unintentional","1",42,23107,181.8
"Alaska","02","75-84 years","75-84","Non-Injury, no intent classified","9",933,23107,4037.7
"Alaska","02","85+ years","85+","Unintentional","1",31,7181,431.7
"Alaska","02","85+ years","85+","Non-Injury, no intent classified","9",793,7181,11043.0
"Arizona","04","< 1 year","1","Unintentional","1",21,81929,25.6
