"age","-","state","-","kind","-",deaths,population,-
"1-4 years","1-4","Alabama","01","Drowning","GRINJ-002",16,237456,Unreliable
"1-4 years","1-4","Alabama","01","Motor Vehicle Traffic","GRINJ-008",10,237456,Unreliable
"1-4 years","1-4","Alabama","01","Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","GR113-110",10,237456,Unreliable
"15-24 years","15-24","Alabama","01","Drowning","GRINJ-002",12,635707,Unreliable
"15-24 years","15-24","Alabama","01","Firearm","GRINJ-006",187,635707,29.4
"15-24 years","15-24","Alabama","01","Motor Vehicle Traffic","GRINJ-008",173,635707,27.2
"15-24 years","15-24","Alabama","01","Non-Injury: All other diseases (Residual)","GR113-111",36,635707,5.7
"15-24 years","15-24","Alabama","01","Non-Injury: Diseases of Heart","GR113 055-068",33,635707,5.2
"15-24 years","15-24","Alabama","01","Poisoning","GRINJ-015",54,635707,8.5
"15-24 years","15-24","Alabama","01","Suffocation","GRINJ-017",35,635707,5.5
"25-34 years","25-34","Alabama","01","Firearm","GRINJ-006",220,647229,34.0
"25-34 years","25-34","Alabama","01","Motor Vehicle Traffic","GRINJ-008",179,647229,27.7
"25-34 years","25-34","Alabama","01","Non-Injury: All other diseases (Residual)","GR113-111",85,647229,13.1
"25-34 years","25-34","Alabama","01","Non-Injury: Cerebrovascular diseases, including stroke","GR113-070",17,647229,Unreliable
"25-34 years","25-34","Alabama","01","Non-Injury: Diabetes mellitus","GR113-046",22,647229,3.4
"25-34 years","25-34","Alabama","01","Non-Injury: Diseases of Heart","GR113 055-068",105,647229,16.2
"25-34 years","25-34","Alabama","01","Non-Injury: Human immunodeficiency virus (HIV) disease","GR113-016",13,647229,Unreliable
"25-34 years","25-34","Alabama","01","Non-Injury: Influenza & Pneumonia","GR113 077-078",15,647229,Unreliable
"25-34 years","25-34","Alabama","01","Non-Injury: Malignant neoplasms (Cancers)","GR113 020-043",56,647229,8.7
"25-34 years","25-34","Alabama","01","Non-Injury: Nephritis, nephrotic syndrome and nephrosis","GR113 097",14,647229,Unreliable
"25-34 years","25-34","Alabama","01","Non-Injury: Other complications of pregnancy, childbirth and the puerperium","GR113-107",19,647229,Unreliable
"25-34 years","25-34","Alabama","01","Non-Injury: Other diseases of respiratory system","GR113-089",11,647229,Unreliable
"25-34 years","25-34","Alabama","01","Non-Injury: Septicemia","GR113-010",14,647229,Unreliable
"25-34 years","25-34","Alabama","01","Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","GR113-110",34,647229,5.3
"25-34 years","25-34","Alabama","01","Poisoning","GRINJ-015",198,647229,30.6
"25-34 years","25-34","Alabama","01","Suffocation","GRINJ-017",54,647229,8.3
"35-44 years","35-44","Alabama","01","Drowning","GRINJ-002",10,593306,Unreliable
"35-44 years","35-44","Alabama","01","Fire/Flame","GRINJ-004",12,593306,Unreliable
"35-44 years","35-44","Alabama","01","Firearm","GRINJ-006",199,593306,33.5
"35-44 years","35-44","Alabama","01","Motor Vehicle Traffic","GRINJ-008",162,593306,27.3
"35-44 years","35-44","Alabama","01","Non-Injury: All other diseases (Residual)","GR113-111",163,593306,27.5
"35-44 years","35-44","Alabama","01","Non-Injury: Cerebrovascular diseases, including stroke","GR113-070",52,593306,8.8
"35-44 years","35-44","Alabama","01","Non-Injury: Chronic liver disease and cirrhosis","GR113 093",60,593306,10.1
"35-44 years","35-44","Alabama","01","Non-Injury: Chronic lower respiratory diseases","GR113 082",19,593306,Unreliable
"35-44 years","35-44","Alabama","01","Non-Injury: Diabetes mellitus","GR113-046",45,593306,7.6
"35-44 years","35-44","Alabama","01","Non-Injury: Diseases of Heart","GR113 055-068",319,593306,53.8
"35-44 years","35-44","Alabama","01","Non-Injury: Essential (primary) hypertension and hypertensive renal disease","GR113-069",24,593306,4.0
"35-44 years","35-44","Alabama","01","Non-Injury: Human immunodeficiency virus (HIV) disease","GR113-016",23,593306,3.9
"35-44 years","35-44","Alabama","01","Non-Injury: Influenza & Pneumonia","GR113 077-078",19,593306,Unreliable
"35-44 years","35-44","Alabama","01","Non-Injury: Malignant neoplasms (Cancers)","GR113 020-043",167,593306,28.1
"35-44 years","35-44","Alabama","01","Non-Injury: Nephritis, nephrotic syndrome and nephrosis","GR113 097",25,593306,4.2
"35-44 years","35-44","Alabama","01","Non-Injury: Other complications of pregnancy, childbirth and the puerperium","GR113-107",12,593306,Unreliable
"35-44 years","35-44","Alabama","01","Non-Injury: Other diseases of respiratory system","GR113-089",14,593306,Unreliable
"35-44 years","35-44","Alabama","01","Non-Injury: Septicemia","GR113-010",31,593306,5.2
"35-44 years","35-44","Alabama","01","Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","GR113-110",54,593306,9.1
"35-44 years","35-44","Alabama","01","Other specified, classifiable Injury","GRINJ-018",11,593306,Unreliable
"35-44 years","35-44","Alabama","01","Poisoning","GRINJ-015",217,593306,36.6
"35-44 years","35-44","Alabama","01","Suffocation","GRINJ-017",52,593306,8.8
"45-54 years","45-54","Alabama","01","Cut/Pierce","GRINJ-001",11,616616,Unreliable
"45-54 years","45-54","Alabama","01","Drowning","GRINJ-002",11,616616,Unreliable
"45-54 years","45-54","Alabama","01","Fall","GRINJ-003",17,616616,Unreliable
"45-54 years","45-54","Alabama","01","Fire/Flame","GRINJ-004",11,616616,Unreliable
"45-54 years","45-54","Alabama","01","Firearm","GRINJ-006",143,616616,23.2
"45-54 years","45-54","Alabama","01","Motor Vehicle Traffic","GRINJ-008",126,616616,20.4
"45-54 years","45-54","Alabama","01","Non-Injury: All other diseases (Residual)","GR113-111",376,616616,61.0
"45-54 years","45-54","Alabama","01","Non-Injury: Cerebrovascular diseases, including stroke","GR113-070",137,616616,22.2
"45-54 years","45-54","Alabama","01","Non-Injury: Chronic liver disease and cirrhosis","GR113 093",149,616616,24.2
"45-54 years","45-54","Alabama","01","Non-Injury: Chronic lower respiratory diseases","GR113 082",114,616616,18.5
"45-54 years","45-54","Alabama","01","Non-Injury: Congenital malformations, deformations and chromosomal abnormalities","GR113-109",13,616616,Unreliable
"45-54 years","45-54","Alabama","01","Non-Injury: Diabetes mellitus","GR113-046",110,616616,17.8
"45-54 years","45-54","Alabama","01","Non-Injury: Diseases of Heart","GR113 055-068",829,616616,134.4
"45-54 years","45-54","Alabama","01","Non-Injury: Essential (primary) hypertension and hypertensive renal disease","GR113-069",46,616616,7.5
"45-54 years","45-54","Alabama","01","Non-Injury: Human immunodeficiency virus (HIV) disease","GR113-016",25,616616,4.1
"45-54 years","45-54","Alabama","01","Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","GR113-044",11,616616,Unreliable
"45-54 years","45-54","Alabama","01","Non-Injury: Influenza & Pneumonia","GR113 077-078",52,616616,8.4
"45-54 years","45-54","Alabama","01","Non-Injury: Malignant neoplasms (Cancers)","GR113 020-043",630,616616,102.2
"45-54 years","45-54","Alabama","01","Non-Injury: Nephritis, nephrotic syndrome and nephrosis","GR113 097",59,616616,9.6
"45-54 years","45-54","Alabama","01","Non-Injury: Nutritional Deficiencies","GR113 048-049",10,616616,Unreliable
"45-54 years","45-54","Alabama","01","Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae","GR113-018",11,616616,Unreliable
"45-54 years","45-54","Alabama","01","Non-Injury: Other diseases of respiratory system","GR113-089",52,616616,8.4
"45-54 years","45-54","Alabama","01","Non-Injury: Other diseases of the circulatory system","GR113 073-074",21,616616,3.4
"45-54 years","45-54","Alabama","01","Non-Injury: Other disorders of circulatory system","GR113-075",10,616616,Unreliable
"45-54 years","45-54","Alabama","01","Non-Injury: Pneumonitis due to solids and liquids","GR113-088",11,616616,Unreliable
"45-54 years","45-54","Alabama","01","Non-Injury: Septicemia","GR113-010",74,616616,12.0
"45-54 years","45-54","Alabama","01","Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","GR113-110",75,616616,12.2
"45-54 years","45-54","Alabama","01","Poisoning","GRINJ-015",173,616616,28.1
"45-54 years","45-54","Alabama","01","Suffocation","GRINJ-017",39,616616,6.3
"45-54 years","45-54","Alabama","01","Unspecified Injury","GRINJ-020",22,616616,3.6
"5-14 years","5-14","Alabama","01","Firearm","GRINJ-006",16,608466,Unreliable
"5-14 years","5-14","Alabama","01","Motor Vehicle Traffic","GRINJ-008",15,608466,Unreliable
"5-14 years","5-14","Alabama","01","Non-Injury: All other diseases (Residual)","GR113-111",21,608466,3.5
"5-14 years","5-14","Alabama","01","Non-Injury: Malignant neoplasms (Cancers)","GR113 020-043",18,608466,Unreliable
"55-64 years","55-64","Alabama","01","Fall","GRINJ-003",33,657667,5.0
"55-64 years","55-64","Alabama","01","Fire/Flame","GRINJ-004",10,657667,Unreliable
"55-64 years","55-64","Alabama","01","Firearm","GRINJ-006",120,657667,18.2
"55-64 years","55-64","Alabama","01","Motor Vehicle Traffic","GRINJ-008",138,657667,21.0
"55-64 years","55-64","Alabama","01","Natural/Environmental","GRINJ-013",13,657667,Unreliable
"55-64 years","55-64","Alabama","01","Non-Injury: All other diseases (Residual)","GR113-111",763,657667,116.0
"55-64 years","55-64","Alabama","01","Non-Injury: Alzheimers disease","GR113-052",28,657667,4.3
"55-64 years","55-64","Alabama","01","Non-Injury: Anemias","GR113-045",12,657667,Unreliable
"55-64 years","55-64","Alabama","01","Non-Injury: Atherosclerosis","GR113-071",19,657667,Unreliable
"55-64 years","55-64","Alabama","01","Non-Injury: Cerebrovascular diseases, including stroke","GR113-070",339,657667,51.5
"55-64 years","55-64","Alabama","01","Non-Injury: Chronic liver disease and cirrhosis","GR113 093",286,657667,43.5
"55-64 years","55-64","Alabama","01","Non-Injury: Chronic lower respiratory diseases","GR113 082",497,657667,75.6
"55-64 years","55-64","Alabama","01","Non-Injury: Complications of medical and surgical care","GR113-135",16,657667,Unreliable
"55-64 years","55-64","Alabama","01","Non-Injury: Congenital malformations, deformations and chromosomal abnormalities","GR113-109",11,657667,Unreliable
"55-64 years","55-64","Alabama","01","Non-Injury: Diabetes mellitus","GR113-046",253,657667,38.5
"55-64 years","55-64","Alabama","01","Non-Injury: Diseases of Heart","GR113 055-068",1922,657667,292.2
"55-64 years","55-64","Alabama","01","Non-Injury: Essential (primary) hypertension and hypertensive renal disease","GR113-069",94,657667,14.3
"55-64 years","55-64","Alabama","01","Non-Injury: Human immunodeficiency virus (HIV) disease","GR113-016",18,657667,Unreliable
"55-64 years","55-64","Alabama","01","Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","GR113-044",21,657667,3.2
"55-64 years","55-64","Alabama","01","Non-Injury: Influenza & Pneumonia","GR113 077-078",150,657667,22.8
"55-64 years","55-64","Alabama","01","Non-Injury: Intestinal infections","GR113 001-003",10,657667,Unreliable
"55-64 years","55-64","Alabama","01","Non-Injury: Malignant neoplasms (Cancers)","GR113 020-043",2093,657667,318.2
"55-64 years","55-64","Alabama","01","Non-Injury: Nephritis, nephrotic syndrome and nephrosis","GR113 097",151,657667,23.0
"55-64 years","55-64","Alabama","01","Non-Injury: Nutritional Deficiencies","GR113 048-049",22,657667,3.3
"55-64 years","55-64","Alabama","01","Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae","GR113-018",26,657667,4.0
"55-64 years","55-64","Alabama","01","Non-Injury: Other diseases of respiratory system","GR113-089",121,657667,18.4
"55-64 years","55-64","Alabama","01","Non-Injury: Other diseases of the circulatory system","GR113 073-074",38,657667,5.8
"55-64 years","55-64","Alabama","01","Non-Injury: Other disorders of circulatory system","GR113-075",19,657667,Unreliable
"55-64 years","55-64","Alabama","01","Non-Injury: Parkinsons disease","GR113-051",22,657667,3.3
"55-64 years","55-64","Alabama","01","Non-Injury: Peptic ulcer","GR113-090",13,657667,Unreliable
"55-64 years","55-64","Alabama","01","Non-Injury: Pneumonitis due to solids and liquids","GR113-088",33,657667,5.0
"55-64 years","55-64","Alabama","01","Non-Injury: Septicemia","GR113-010",201,657667,30.6
"55-64 years","55-64","Alabama","01","Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","GR113-110",172,657667,26.2
"55-64 years","55-64","Alabama","01","Non-Injury: Viral hepatitis","GR113-015",16,657667,Unreliable
"55-64 years","55-64","Alabama","01","Poisoning","GRINJ-015",132,657667,20.1
"55-64 years","55-64","Alabama","01","Suffocation","GRINJ-017",32,657667,4.9
"55-64 years","55-64","Alabama","01","Unspecified Injury","GRINJ-020",38,657667,5.8
"65-74 years","65-74","Alabama","01","Fall","GRINJ-003",65,501447,13.0
"65-74 years","65-74","Alabama","01","Fire/Flame","GRINJ-004",19,501447,Unreliable
"65-74 years","65-74","Alabama","01","Firearm","GRINJ-006",100,501447,19.9
"65-74 years","65-74","Alabama","01","Motor Vehicle Traffic","GRINJ-008",99,501447,19.7
"65-74 years","65-74","Alabama","01","Non-Injury: All other diseases (Residual)","GR113-111",1121,501447,223.6
"65-74 years","65-74","Alabama","01","Non-Injury: Alzheimers disease","GR113-052",228,501447,45.5
"65-74 years","65-74","Alabama","01","Non-Injury: Anemias","GR113-045",20,501447,4.0
"65-74 years","65-74","Alabama","01","Non-Injury: Atherosclerosis","GR113-071",17,501447,Unreliable
"65-74 years","65-74","Alabama","01","Non-Injury: Cerebrovascular diseases, including stroke","GR113-070",618,501447,123.2
"65-74 years","65-74","Alabama","01","Non-Injury: Chronic liver disease and cirrhosis","GR113 093",227,501447,45.3
"65-74 years","65-74","Alabama","01","Non-Injury: Chronic lower respiratory diseases","GR113 082",1028,501447,205.0
"65-74 years","65-74","Alabama","01","Non-Injury: Complications of medical and surgical care","GR113-135",21,501447,4.2
"65-74 years","65-74","Alabama","01","Non-Injury: Diabetes mellitus","GR113-046",347,501447,69.2
"65-74 years","65-74","Alabama","01","Non-Injury: Diseases of Heart","GR113 055-068",2929,501447,584.1
"65-74 years","65-74","Alabama","01","Non-Injury: Essential (primary) hypertension and hypertensive renal disease","GR113-069",137,501447,27.3
"65-74 years","65-74","Alabama","01","Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","GR113-044",52,501447,10.4
"65-74 years","65-74","Alabama","01","Non-Injury: Influenza & Pneumonia","GR113 077-078",218,501447,43.5
