state,kind,age,deaths,population
United States,Alzheimers Disease,1-4 years,0,15793631
United States,Alzheimers Disease,15-24 years,0,42687510
United States,Alzheimers Disease,25-34 years,2,45940321
United States,Alzheimers Disease,35-44 years,10,41659144
United States,Alzheimers Disease,45-54 years,116,40874902
United States,Alzheimers Disease,5-14 years,0,40994163
United States,Alzheimers Disease,55-64 years,1281,42448537
United States,Alzheimers Disease,65-74 years,7836,31483433
United States,Alzheimers Disease,75-84 years,33566,15969872
United States,Alzheimers Disease,85+ years,78688,6604958
United States,Alzheimers Disease,< 1 year,0,3783052
United States,Alzheimers Disease,All Ages,121499,328239523
United States,Alzheimers Disease,Not Stated,0,Not Applicable
United States,Cancer,1-4 years,285,15793631
United States,Cancer,15-24 years,1388,42687510
United States,Cancer,25-34 years,3577,45940321
United States,Cancer,35-44 years,10695,41659144
United States,Cancer,45-54 years,35587,40874902
United States,Cancer,5-14 years,775,40994163
United States,Cancer,55-64 years,111765,42448537
United States,Cancer,65-74 years,171062,31483433
United States,Cancer,75-84 years,160639,15969872
United States,Cancer,85+ years,103761,6604958
United States,Cancer,< 1 year,55,3783052
United States,Cancer,All Ages,599601,328239523
United States,Cancer,Not Stated,12,Not Applicable
United States,Car accidents,1-4 years,281,15793631
United States,Car accidents,15-24 years,5867,42687510
United States,Car accidents,25-34 years,6643,45940321
United States,Car accidents,35-44 years,5248,41659144
United States,Car accidents,45-54 years,5089,40874902
United States,Car accidents,5-14 years,760,40994163
United States,Car accidents,55-64 years,5603,42448537
United States,Car accidents,65-74 years,3909,31483433
United States,Car accidents,75-84 years,2800,15969872
United States,Car accidents,85+ years,1324,6604958
United States,Car accidents,< 1 year,69,3783052
United States,Car accidents,All Ages,37595,328239523
United States,Car accidents,Not Stated,2,Not Applicable
United States,Cerebrovascular Diseases,1-4 years,52,15793631
United States,Cerebrovascular Diseases,15-24 years,158,42687510
United States,Cerebrovascular Diseases,25-34 years,585,45940321
United States,Cerebrovascular Diseases,35-44 years,1741,41659144
United States,Cerebrovascular Diseases,45-54 years,5153,40874902
United States,Cerebrovascular Diseases,5-14 years,85,40994163
United States,Cerebrovascular Diseases,55-64 years,12931,42448537
United States,Cerebrovascular Diseases,65-74 years,24051,31483433
United States,Cerebrovascular Diseases,75-84 years,40592,15969872
